Num.,Nome completo,E-mail,Telefone,Área,Idioma de interesse,Leva,Modelo de aula,Resultado nivelamento,Data Nivelamento,Nivel Recente,Data que o Lingopass deu acesso,Data de Primeiro acesso,A0,A0 AoV,"Tempo de conclusão em dias 
Início Fim",A1,A1 AoV,"Tempo de conclusão em dias 
Início Fim.1",A2,A2 AoV,"Tempo de conclusão em dias 
Início Fim.2",B1,B1 AoV,"Tempo de conclusão em dias 
Início Fim.3",B2,B2 AoV,"Tempo de conclusão em dias 
Início Fim.4",C1,C1 AoV,"Tempo de conclusão em dias 
Início Fim.5",C2,C2 AoV,total progresso,"Tempo de conclusão em dias 
Início Fim.6",Progresso (nível do nivelamento),Progresso (qualquer nível),Média A0,Média A1,Média A2,Média B1,Média B2,Média C1,Média C2,Média total,Primeiro Acesso,Primeiro acesso curso que foi nivelado,Último Acesso,Tempo Total Plataforma,Tempo Total AoV,Tempo Total,tempo plataforma minutos,tempo AOV minutos,tempo total,% plataforma ,Turmas Fixas,Horário,Turno,Tutor,Nativo?,Quantidade Mensagens,Observação,Nome Gestor,Gestor,Empresa,Cancelou,Data de cancelamento,Data que deve perder acesso ,Justificativa,Sobre o curso: Quão satisfeito você ficou com seu curso em geral?,"Recomendação, comentário ou sugestão: Você recomendaria nosso curso? (1 sendo nunca e 10 com certeza)","Recomendação, comentário ou sugestão: Tem alguma sugestão ou comentário que queira nos enviar?"
,Melissa Johnson,robinrobinson@example.org,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,19/04/2023,B1,01/04/2023,19/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,19/04/2023,,19/04/2023,00h 16m,00h 00m,00h 16m,16.0,0.0,16.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,summer39@example.com,EMBRAER,,,,,,,
381.0,Gregory Coleman,rayjeffrey@example.net,,TEC,INGLÊS,3,TURMA FIXA,A2,10/02/2023,A2,01/02/2023,10/02/2023,"0,00%",0.00%,,"10,00%",0.00%,,"2,00%",38.29%,,"2,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,10/02/2023,,18/04/2023,03h 37m,06h 07m,09h 45m,217.0,367.0,584.0,37%,EN | EMB3 | TEC | BAS17,Segundas e quartas às 20h,Noite,Daniela,Brasileiro,,Aluno nivelado no B1 migrou para turma do básico por estar com dificuldade,,thomasgolden@example.com,EMBRAER,,,,,,,
8.0,Zachary Price,christopherbarnett@example.org,,TI,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"12,00%",25.95%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,12%,,"12,00%","12,00%",-,-,-,-,-,-,-,,26/09/2022,,22/11/2022,02h 29m,04h 09m,06h 38m,149.0,249.0,398.0,37%,EN | EMB | TI | INT15,Terças e quintas às 16h,Tarde,Dewayne,Nativo,2.0,,,sandra50@example.net,EMBRAER,,,,,,,
,Connie Flores,wendy41@example.org,,ADM,INGLÊS,4,TURMA FIXA,B1,13/04/2023,B1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,13/04/2023,,25/04/2023,00h 05m,00h 00m,00h 05m,5.0,0.0,5.0,100%,Turma 48 - ADM - INT - terças e quintas às 9h,Terça e Quinta,Tarde,Não definido ,,,,,andreaarmstrong@example.com,EMBRAER,,,,,,,
,George Fletcher,kenneth04@example.net,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,18/04/2023,B1,01/04/2023,18/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,18/04/2023,,18/04/2023,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,TURMA FLEXÍVEL,Segunda e Quarta,Noite,,,,,,lisa80@example.org,EMBRAER,,,,,,,
,Joshua Porter,weaveramanda@example.net,,TEC,INGLÊS,4,TURMA FIXA,B1,13/04/2023,B1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"6,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,6%,,"6,00%","6,00%",,,,,,,,,13/04/2023,,20/04/2023,02h 04m,00h 00m,02h 04m,124.0,0.0,124.0,100%,Turma 46 - TEC - INT - terças e quintas às 18h,Quarta e Sexta,Noite,Manoel,,,,,danarios@example.net,EMBRAER,,,,,,,
346.0,Philip Frank,alyssa69@example.org,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B1,06/01/2023,B1,01/12/2022,06/01/2023,"4,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"5,00%",127.50%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,9%,,,,-,-,-,-,-,-,-,,06/01/2023,,25/04/2023,01h 36m,20h 53m,22h 30m,96.0,1.253,1.349,7%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,danajordan@example.org,EMBRAER,,,,,,,
309.0,Chad Moss,longcharles@example.net,,TI,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"8,00%",150.65%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,8%,,,,-,-,-,-,-,-,-,,13/12/2022,,20/04/2023,02h 36m,24h 06m,26h 42m,156.0,1.446,1.602,10%,EN | EMB2 | TI | INT30,Terças e quintas às 13h,Tarde,Luíza,Brasileiro,1.0,,,garrettwright@example.org,EMBRAER,,,,,,,
,Dylan Torres,bmurphy@example.org,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,13/04/2023,B1,01/04/2023,13/04/2023,"4,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"1,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,5%,,"4,00%","4,00%",,,,,,,,,13/04/2023,,18/04/2023,01h 29m,00h 00m,01h 29m,89.0,0.0,89.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,melissamorris@example.net,EMBRAER,,,,,,,
,Carlos Harrison,curryamanda@example.net,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,19/04/2023,B1,01/04/2023,19/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,19/04/2023,,26/04/2023,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,TURMA FLEXÍVEL,Quarta e Sexta,Noite,,,,,,robin54@example.net,EMBRAER,,,,,,,
101.0,Tracy Santos,qburns@example.org,,ADM,ESPANHOL,1,TURMA FIXA,A1,28/09/2022,A1,01/09/2022,28/09/2022,"0,00%",0.00%,,"11,00%",83.72%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,11%,,"11,00%","11,00%",-,-,-,-,-,-,-,,28/09/2022,,28/03/2023,04h 25m,13h 23m,17h 48m,265.0,803.0,1.068,25%,ES | EMB2 | BAS01,Terças e quintas às 08h,Manhã,Diana,Nativo,2.0,Aluno da turma 1 que não havia feito teste de nivelamento,,janet48@example.com,EMBRAER,,,,,,,
359.0,Ashley Johnson,tdiaz@example.net,,ADM,INGLÊS,3,TURMA FLEXÍVEL,A2,14/02/2023,A2,01/02/2023,14/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"2,00%",7.53%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,14/02/2023,,18/04/2023,01h 42m,01h 12m,02h 54m,102.0,72.0,174.0,59%,Turma flexível,FLEX,FLEX,FLEX,FLEX,,,,rodriguezbarry@example.com,EMBRAER,,,,,,,
372.0,Yolanda Brown,andersonemily@example.org,,ADM,INGLÊS,3,TURMA FIXA,B1,13/02/2023,B1,01/02/2023,13/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"5,00%",39.88%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,13/02/2023,,03/04/2023,00h 37m,06h 22m,07h 00m,37.0,382.0,419.0,9%,EN | EMB3 | ADM | INT40,Segundas e quartas às 18h,Noite,Luíza,Brasileiro,1.0,,,andersonkristin@example.org,EMBRAER,,,,,,,
36.0,Donald Watson,acruz@example.org,,ADM,INGLÊS,1,TURMA FIXA,A2,05/10/2022,A2,01/09/2022,05/10/2022,"1,00%",0.00%,,"0,00%",0.00%,,"10,00%",129.65%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,11%,,"10,00%","10,00%",-,-,-,-,-,-,-,,05/10/2022,,20/04/2023,02h 41m,40h 57m,43h 38m,161.0,2.457,2.618,6%,EN | EMB | ADM | BAS04,Terças e quintas às 08h,Manhã,Larissa,Brasileiro,2.0,,,upayne@example.com,EMBRAER,,,,,,,
316.0,David Davis MD,xgoodwin@example.org,,ADM,INGLÊS,2,TURMA FIXA,B1,09/01/2023,B1,01/12/2022,09/01/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"6,00%",127.04%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,6%,,,,-,-,-,-,-,-,-,,09/01/2023,,24/04/2023,02h 35m,22h 11m,24h 47m,155.0,1.331,1.486,10%,EN | EMB2 | ADM | INT20,Segundas e quartas às 19h,Noite,Awynner,Brasileiro,8.0,,,bashley@example.org,EMBRAER,,,,,,,
244.0,Gina Woodard,lindadavis@example.org,,ADM,INGLÊS,2,TURMA FIXA,B2,13/12/2022,B2,01/12/2022,13/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"5,00%",153.58%,,"0,00%",0.00%,,"0,00%",0.00%,5%,,,,-,-,-,-,-,-,-,,13/12/2022,,25/04/2023,02h 39m,25h 18m,27h 58m,159.0,1.518,1.677,9%,EN | EMB2 | ADM | INT18,Terças e quintas às 14h,Tarde,Victor,Nativo,1.0,,,zrussell@example.org,EMBRAER,,,,,,,
33.0,Keith Wolfe,xhernandez@example.com,,ADM,INGLÊS,1,TURMA FIXA,B1,10/10/2022,B1,01/09/2022,10/10/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"11,00%",157.57%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,11%,,"11,00%","11,00%",-,-,-,-,-,-,-,,10/10/2022,,20/04/2023,03h 21m,26h 04m,29h 25m,201.0,1.564,1.765,11%,EN | EMB | ADM | INT10,Terças e quintas às 08h,Manhã,Awynner,Brasileiro,2.0,,,hharris@example.com,EMBRAER,,,,,,,
256.0,Patrick Vargas,murphymichelle@example.com,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"4,00%",114.38%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,4%,,,,-,-,-,-,-,-,-,,12/12/2022,,25/04/2023,02h 00m,18h 48m,20h 48m,120.0,1.128,1.248,10%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,lopezheather@example.org,EMBRAER,,,,,,,
91.0,Kristen Morris,brownjennifer@example.net,,TI,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"11,00%",137.21%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,11%,,"11,00%","11,00%",-,-,-,-,-,-,-,,26/09/2022,,24/04/2023,02h 30m,21h 57m,24h 27m,150.0,1.317,1.467,10%,EN | EMB2 | TI | INT32,Segundas e quartas às 18h,Noite,Dani,Brasileiro,2.0,,,henrycaitlin@example.org,EMBRAER,,,,,,,
51.0,Christian Thompson,hhess@example.com,,ADM,ESPANHOL,1,TURMA FIXA,A1,27/09/2022,A1,01/09/2022,27/09/2022,"10,00%",133.50%,,"0,00%",133.50%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,10%,,"0,00%","10,00%",-,-,-,-,-,-,-,,27/09/2022,,25/04/2023,00h 38m,22h 08m,22h 47m,38.0,1.328,1.366,3%,ES | EMB2 | BAS01,Terças e quintas às 08h,Manhã,Diana,Nativo,2.0,Aluno da turma 1 que não havia feito teste de nivelamento,,daniel54@example.org,EMBRAER,,,,,,,
93.0,Michael Ellis,joneselizabeth@example.com,,ADM,INGLÊS,1,TURMA FIXA,A2,26/09/2022,A2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"10,00%",3.04%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,10%,,"10,00%","10,00%",-,-,-,-,-,-,-,,26/09/2022,,20/10/2022,04h 10m,00h 29m,04h 40m,250.0,29.0,279.0,90%,EN | EMB | ADM | BAS05,Segundas e quartas às 08h,Manhã,Vanessa,Brasileiro,2.0,,,stephen86@example.net,EMBRAER,,,,,,,
263.0,Robert Phillips,zjones@example.org,,ADM,INGLÊS,2,TURMA FIXA,C1,12/12/2022,C1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"3,00%",35.56%,,"0,00%",0.00%,3%,,,,-,-,-,-,-,-,-,,12/12/2022,,25/04/2023,03h 01m,14h 59m,18h 01m,181.0,899.0,1.08,17%,EN | EMB3 | AV04,Terças e quintas  às 18h,Noite,Gustavo,Brasileiro,1.0,Aluno do intermediário que foi para uma turma do avançado,,benjamin01@example.net,EMBRAER,,,,,,,
361.0,Kimberly Foster,bgarcia@example.org,,ADM,INGLÊS,3,TURMA FIXA,B1,13/02/2023,B1,01/02/2023,13/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"7,00%",65.01%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,13/02/2023,,24/04/2023,02h 07m,10h 24m,12h 31m,127.0,624.0,751.0,17%,EN | EMB3 | ADM | INT38,Segundas e quartas às 16h,Tarde,Ricardo,Brasileiro,,,,manningdeanna@example.com,EMBRAER,,,,,,,
,Kelsey Smith,cmiller@example.com,,ADM,INGLÊS,4,TURMA FIXA,B1,19/04/2023,B1,01/04/2023,19/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,19/04/2023,,25/04/2023,00h 04m,00h 00m,00h 04m,4.0,0.0,4.0,100%,Turma 48 - ADM - INT - terças e quintas às 9h,Terça e Quinta,Manhã,Não definido ,,,,,murphykimberly@example.net,EVE AIR MOBILITY,,,,,,,
,Danielle Yoder,paul99@example.com,,ADM,INGLÊS,4,TURMA FIXA,B1,19/04/2023,B1,01/04/2023,19/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,19/04/2023,,19/04/2023,00h 05m,00h 00m,00h 05m,5.0,0.0,5.0,100%,Turma 43 - ADM - INT - segundas e quartas às 18h,Segunda e Quarta,Noite,Não definido,,,,,vdavis@example.net,EMBRAER,,,,,,,
132.0,Mrs. Elizabeth Holloway,taylorwest@example.com,,TI,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"10,00%",147.04%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,10%,,"10,00%","10,00%",-,-,-,-,-,-,-,,26/09/2022,,13/04/2023,05h 47m,23h 31m,29h 19m,347.0,1.411,1.758,20%,EN | EMB | TI | INT05,Terças e quintas às 16h,Tarde,Victor,Nativo,2.0,,,pturner@example.com,EMBRAER,,,,,,,
,Michael Brown,uwilson@example.org,,TEC,INGLÊS,4,TURMA FLEXÍVEL,B1,13/04/2023,B1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"1,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,"1,00%","1,00%",,,,,,,,,13/04/2023,,25/04/2023,00h 48m,00h 00m,00h 48m,48.0,0.0,48.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,kwilliams@example.net,EMBRAER,,,,,,,
133.0,Jeremy Ward,jane10@example.net,,TEC,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"9,00%",142.05%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,9%,,"9,00%","9,00%",-,-,-,-,-,-,-,,26/09/2022,,20/04/2023,01h 10m,22h 43m,23h 54m,70.0,1.363,1.433,5%,EN | EMB | TEC | INT16,Terças e quintas às 15h,Tarde,Eduardo,Brasileiro,2.0,,,bstephens@example.org,EMBRAER,,,,,,,
288.0,Robin Morrison,jessicacurtis@example.net,,TEC,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"2,00%",145.36%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,2%,,,,-,-,-,-,-,-,-,,13/12/2022,,25/04/2023,01h 08m,24h 12m,25h 21m,68.0,1.452,1.52,4%,EN | EMB2 | TEC | INT29,Terças e quintas ás 20:30h,Noite,Gustavo,Brasileiro,1.0,,,lambertkelly@example.org,EMBRAER,,,,,,,
14.0,Brianna Buck,shane99@example.org,,ADM,INGLÊS,1,TURMA FIXA,B1,10/10/2022,B1,01/09/2022,10/10/2022,"8,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",187.86%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,8%,,"0,00%","8,00%",-,-,-,-,-,-,-,,10/10/2022,,19/04/2023,00h 25m,30h 03m,30h 29m,25.0,1.803,1.828,1%,EN | EMB | ADM | INT09,Segundas e quartas às 08h,Manhã,Amanda,Brasileiro,2.0,,,joshua67@example.org,EMBRAER,,,,,,,
,Christopher Hayes,owenslaura@example.net,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,14/04/2023,B1,01/04/2023,14/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,14/04/2023,,24/04/2023,00h 06m,00h 00m,00h 06m,6.0,0.0,6.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,timothyvazquez@example.org,EMBRAER,,,,,,,
19.0,Pamela Gilbert,timothythompson@example.org,,ADM,INGLÊS,1,TURMA FLEXÍVEL,INGLÊS,10/10/2022,A0,01/09/2022,10/10/2022,"8,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,8%,,"8,00%","8,00%",-,-,-,-,-,-,-,,10/10/2022,,,,,,,,,#DIV/0!,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,Aluna não tem nivelamento mas Isadora pediu para manter o acesso,,george30@example.net,EMBRAER,,,,,,,
328.0,Donald Christian,ahahn@example.org,,TEC,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"2,00%",162.82%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,2%,,,,-,-,-,-,-,-,-,,13/12/2022,,24/04/2023,00h 08m,26h 03m,26h 11m,8.0,1.563,1.571,1%,EN | EMB2 | TEC | INT28,Segundas e quartas às 19h,Noite,Larissa,Brasileiro,1.0,,,thomas49@example.org,EMBRAER,,,,,,,
228.0,Stephen Watkins,xsoto@example.org,,TI,INGLÊS,2,TURMA FIXA,A1,03/01/2023,A1,01/12/2022,03/01/2023,"1,00%",0.00%,,"0,00%",109.43%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,,,-,-,-,-,-,-,-,,03/01/2023,,25/04/2023,00h 02m,18h 25m,18h 27m,2.0,1.105,1.107,0%,EN | EMB2 | TI | BAS12,Terças e quintas às 18h,Noite,Bruno,Brasileiro,1.0,,,timothyallen@example.org,EMBRAER,,,,,,,
393.0,Melvin Mcbride,chayes@example.org,,ADM,INGLÊS,3,TURMA FLEXÍVEL,B1,09/02/2023,B1,01/02/2023,09/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"3,00%",3.20%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,09/02/2023,,27/03/2023,00h 46m,00h 31m,01h 18m,46.0,31.0,77.0,60%,Turma flexível,FLEX,FLEX,FLEX,FLEX,,,,millerjulia@example.com,EMBRAER,,,,,,,
4.0,Tanya Price,tschultz@example.org,,ADM,INGLÊS,1,TURMA FLEXÍVEL,B1,28/09/2022,B1,01/09/2022,28/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"7,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,7%,,"7,00%","7,00%",-,-,-,-,-,-,-,,28/09/2022,,04/04/2023,02h 34m,00h 13m,02h 47m,154.0,13.0,167.0,92%,Turma flexível,FLEX,FLEX,FLEX,FLEX,3.0,,,ldennis@example.net,EMBRAER,,,,,,,
144.0,Sarah Morgan,marialawson@example.org,,TEC,INGLÊS,1,TURMA FIXA,B2,04/10/2022,B2,01/09/2022,04/10/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"7,00%",189.85%,,"0,00%",0.00%,,"0,00%",0.00%,7%,,"7,00%","7,00%",-,-,-,-,-,-,-,,04/10/2022,,25/04/2023,01h 30m,31h 07m,32h 37m,90.0,1.867,1.957,5%,EN | EMB | TEC | INT08,Terças e quintas às 16h,Tarde,Ricardo,Brasileiro,2.0,,,jonathan06@example.net,EMBRAER,,,,,,,
,Jeremy Walker,vclark@example.com,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,13/04/2023,B1,01/04/2023,13/04/2023,"9,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"5,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,14%,,"9,00%","9,00%",,,,,,,,,13/04/2023,,25/04/2023,02h 21m,00h 00m,02h 21m,141.0,0.0,141.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,scottalexander@example.com,EMBRAER,,,,,,,
161.0,Pamela Martinez,okeith@example.com,,ADM,INGLÊS,2,TURMA FIXA,B1,06/01/2023,B1,01/01/2023,06/01/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"1,00%",127.78%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,"1,00%","1,00%",-,-,-,-,-,-,-,,06/01/2023,,12/04/2023,00h 33m,20h 26m,21h 00m,33.0,1.226,1.259,3%,EN | EMB2 | ADM | INT17,Segundas e quartas às 9h,Manhã,Dani,Brasileiro,,,,ryanjimenez@example.net,EVE,,,,,,,
,Christina Bell,william19@example.net,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,19/04/2023,B1,01/04/2023,19/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,19/04/2023,,19/04/2023,00h 08m,00h 00m,00h 08m,8.0,0.0,8.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,umoran@example.com,EMBRAER,,,,,,,
,James Miller,andrewlewis@example.org,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,13/04/2023,B1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"2,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,2%,,"2,00%","2,00%",,,,,,,,,13/04/2023,,25/04/2023,02h 01m,00h 00m,02h 01m,121.0,0.0,121.0,100%,TURMA FLEXÍVEL,Segunda e Quarta,Tarde,,,,,,dmanning@example.net,EMBRAER,,,,,,,
176.0,Charles Smith,joan06@example.net,,ADM,INGLÊS,2,TURMA FIXA,B1,09/01/2023,B1,01/12/2022,09/01/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"1,00%",106.30%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,,,-,-,-,-,-,-,-,,09/01/2023,,17/04/2023,00h 20m,17h 00m,17h 20m,20.0,1.02,1.04,2%,EN | EMB2 | ADM | INT33,Segundas e quartas às 12h,Tarde,Victor,Nativo,1.0,,,stevenyoung@example.com,EMBRAER,,,,,,,
299.0,Sarah Woods,portervanessa@example.org,,TI,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"1,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",137.28%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,1%,,,,-,-,-,-,-,-,-,,12/12/2022,,24/04/2023,00h 17m,25h 26m,25h 43m,17.0,1.526,1.543,1%,EN | EMB2 | TI | INT32,Segundas e quartas às 18h,Noite,Dani,Brasileiro,4.0,,,hurleyamber@example.net,EMBRAER,,,,,,,
,Robert Reynolds,sarah39@example.com,,ADM,INGLÊS,4,TURMA FLEXÍVEL,B1,13/04/2023,B1,01/04/2023,13/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,13/04/2023,,19/04/2023,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,TURMA FLEXÍVEL,FLEX,,,,,,,debra63@example.net,EMBRAER,,,,,,,
